"opportunity_id","opportunity_number","opportunity_title","opportunity_status","agency_code","category","category_explanation","post_date","close_date","close_date_description","archive_date","is_cost_sharing","expected_number_of_awards","estimated_total_program_funding","award_floor","award_ceiling","additional_info_url","additional_info_url_description","opportunity_assistance_listings","funding_instruments","funding_categories","funding_category_description","applicant_types","applicant_eligibility_description","agency_name","top_level_agency_name","agency_contact_description","agency_email_address","agency_email_address_description","is_forecast","forecasted_post_date","forecasted_close_date","forecasted_close_date_description","forecasted_award_date","forecasted_project_start_date","fiscal_year","created_at","updated_at","summary_description"
"62055c6f-fb0d-4d3d-afd8-588672039c38","FOR-AI-27-024","Impact of Initial Influenza Exposure on Immunity in Infants","forecasted","HHS-NIH11","discretionary","","2025-07-08","","","","False","3","10000000","","","","","93.855|Allergy and Infectious Diseases Research","cooperative_agreement","health","","state_governments;federally_recognized_native_american_tribal_governments;public_and_indian_housing_authorities;public_and_state_institutions_of_higher_education;independent_school_districts;small_businesses;other_native_american_tribal_organizations;private_institutions_of_higher_education;county_governments;nonprofits_non_higher_education_with_501c3;for_profit_organizations_other_than_small_businesses","","National Institutes of Health","Department of Health and Human Services","","michelle.arnold@nih.gov","michelle.arnold@nih.gov","True","2025-12-12","2026-02-11","","2026-12-01","2026-12-01","2027","2025-07-08 14:11:52+00:00","2025-07-08 14:11:51+00:00","<p><span style=""color: rgb(51, 51, 51);"">The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by continuing support to&nbsp;establish, follow, and characterize longitudinal cohorts of infants and/or mother-infant dyads to determine how influenza infections and/or vaccinations shape infant and childhood immunity. These studies will define and characterize immunity acquired upon initial exposure (including in utero) to influenza antigens from natural infections and/or vaccinations and examine how these exposures influence immune responses to subsequent influenza infections and/or vaccines. Projects that include mother-infant dyads will also study the role of maternal influenza immune status on neonatal responses to influenza infection and/or vaccination. The overall goal of this research is to provide key information to facilitate design of durable, broadly protective influenza vaccines.&nbsp;Grant authorities that allow NIAID to forecast this opportunity are as follows: Sections 301 and 405 of the Public Health Service Act as amended (42 USC 241 and 284) and under Federal Regulations 42 CFR Part 52 and 2 CFR Part 200.</span></p>"
"4f129770-7723-4f48-af53-5a583d2b46fa","NOT-AI-25-031","Mucosal Immunology Studies Team (MIST) (U01 Clinical Trial Not Allowed)","forecasted","HHS-NIH11","discretionary","","2025-05-09","","","","False","5","3000000","","","","","93.855|Allergy and Infectious Diseases Research","cooperative_agreement","health","","nonprofits_non_higher_education_with_501c3;state_governments;federally_recognized_native_american_tribal_governments;small_businesses;public_and_indian_housing_authorities;public_and_state_institutions_of_higher_education;independent_school_districts;private_institutions_of_higher_education;for_profit_organizations_other_than_small_businesses;other_native_american_tribal_organizations;county_governments","","National Institutes of Health","Department of Health and Human Services","","hodged@mail.nih.gov","hodged@mail.nih.gov","True","2025-07-03","2025-11-03","","2026-07-01","2026-07-01","2026","2025-05-07 20:22:46+00:00","2025-05-09 19:26:01+00:00","<p>The National Institute of Allergy and Infectious Diseases intends to publish a Notice of Funding Opportunity (NOFO) to solicit applications from eligible organizations to participate in a cooperative research group, the Mucosal Immunology Studies Team (MIST), focusing on immune mechanisms and immune regulation at mucosal surfaces of the respiratory, gastrointestinal, and urogenital tracts. The main objective of this program is to break new ground in the understanding of basic mucosal immune mechanisms by introducing new ideas, approaches, and technologies that address difficult questions in mucosal immunology. This NOFO will utilize the U01 activity code.</p><p><br></p><p>Applications are not being solicited at this time. This Notice is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects. Investigators with expertise and insights into this area of mucosal immunology are encouraged to begin to consider applying for this new NOFO. In addition, collaborative investigations&nbsp;will be encouraged, and these investigators should also begin considering applying for this NOFO.&nbsp;</p>"
"00c2cbed-6c59-48fe-918e-c15efa2b9322","FOR-AI-27-017","Multidisciplinary Research to Accelerate Hepatitis B Cure in Persons Living with HIV and HBV (MRA-HBV)","forecasted","HHS-NIH11","discretionary","","2025-06-27","","","","False","2","8000000","","","","","93.855|Allergy and Infectious Diseases Research","cooperative_agreement","health","","county_governments;small_businesses;private_institutions_of_higher_education;for_profit_organizations_other_than_small_businesses;state_governments;federally_recognized_native_american_tribal_governments;public_and_state_institutions_of_higher_education;public_and_indian_housing_authorities;nonprofits_non_higher_education_with_501c3;other_native_american_tribal_organizations;independent_school_districts","","National Institutes of Health","Department of Health and Human Services","","josh.radke@nih.gov","josh.radke@nih.gov","True","2026-05-21","2026-08-19","","2027-03-01","2027-03-01","2027","2025-06-27 19:02:16+00:00","2025-06-27 19:02:16+00:00","<p><span style=""color: rgb(51, 51, 51);"">The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by soliciting applications to support Multidisciplinary Research to Accelerate Hepatitis B Cure in Persons Living with HIV (PLWH) and Hepatitis B Virus (HBV). This program will focus on:&nbsp;elucidating mechanisms of persistence and pathogenesis; discovering and developing clinically relevant biomarkers; discovering and/or validating host and/or new viral drug targets; and developing non-invasive diagnostics. Each MRA-HBV award will support an observational cohort paired with a multi-disciplinary teams focused on research that leverages samples from&nbsp;existing clinical data and sample repositories from previous cohort studies. Grant authorities that allow NIAID to forecast this opportunity are as follows: Sections 301 and 405 of the Public Health Service Act as amended (42 USC 241 and 284) and under Federal Regulations 42 CFR Part 52 and 2 CFR Part 200.</span></p>"
"0fd59028-511b-4bb2-958a-75cb11d17353","FOR-AI-27-009","NIAID Resource-Related Research Projects","forecasted","HHS-NIH11","discretionary","","2025-06-12","","","","False","","","","","","","93.855|Allergy and Infectious Diseases Research","grant","health","","private_institutions_of_higher_education;nonprofits_non_higher_education_with_501c3;public_and_indian_housing_authorities;public_and_state_institutions_of_higher_education;independent_school_districts;other_native_american_tribal_organizations;state_governments;small_businesses;federally_recognized_native_american_tribal_governments;county_governments;for_profit_organizations_other_than_small_businesses","","National Institutes of Health","Department of Health and Human Services","","chelsea.boyd@nih.gov","chelsea.boyd@nih.gov","True","2025-11-26","2026-01-26","","2026-12-01","2026-12-01","2027","2025-06-11 16:37:09+00:00","2025-06-12 20:28:03+00:00","<p><span style=""color: rgb(51, 51, 51);"">The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by continuing support for the NIAID Resource-Related Research Projects. This program encourages applications for investigator-initiated research projects that will develop resources to serve biomedical research. A resource is a non-hypothesis-driven activity to provide data, materials, tools, or services that are essential to making the most timely, high quality, and cost-efficient progress in a field. The resource should be available to any qualified investigator, and should be highly quality controlled, replenishable, and not duplicate resources available commercially or through other sources. Proposed resources should be relevant to the scientific areas of the NIAID mission including the biology, pathogenesis, and host response to microbes, the mechanisms of normal immune function and immune dysfunction resulting in autoimmunity, immunodeficiency, allergy, asthma, or transplant rejection, and translational research to develop vaccines, therapeutics, and diagnostics to prevent and treat infectious, immune-mediated, and allergic diseases. Grant authorities that allow NIAID to forecast this opportunity are as follows:&nbsp;Sections 301 and 405 of the Public Health Service Act as amended (42 USC 241 and 284) and under Federal Regulations 42 CFR Part 52 and 2 CFR Part 200.</span></p>"
"81895450-caf7-48ab-bab4-b80f0d74e3b1","FOR-AI-27-007","NIAID Clinical Trial Implementation Cooperative Agreement","forecasted","HHS-NIH11","discretionary","","2025-06-27","","","","False","","","","","","","93.855|Allergy and Infectious Diseases Research","cooperative_agreement","health","","federally_recognized_native_american_tribal_governments;county_governments;nonprofits_non_higher_education_with_501c3;other_native_american_tribal_organizations;private_institutions_of_higher_education;public_and_state_institutions_of_higher_education;state_governments;independent_school_districts;public_and_indian_housing_authorities;for_profit_organizations_other_than_small_businesses;small_businesses","","National Institutes of Health","Department of Health and Human Services","","cynthia.delafuente@nih.gov","cynthia.delafuente@nih.gov","True","2025-12-05","2026-02-25","","2026-12-01","2026-12-01","2027","2025-06-27 18:48:02+00:00","2025-06-27 18:48:02+00:00","<p><span style=""color: rgb(51, 51, 51);"">The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by continuing support for the NIAID Clinical Trial Implementation Cooperative Agreements. This program encourages cooperative agreement applications for implementation of investigator-initiated, milestone driven, high-risk clinical trials including mechanistic studies associated with these clinical trials. Due to this&nbsp;focus, the program encompasses both basic and clinical research. This program includes support for the conduct, completion, and analysis of the clinical trial. Additional activities supported are related to the conduct of the clinical trial including training of study personnel; enrollment and recruitment of study subjects; data collection, clinical data management and quality control; investigational product costs; laboratory work and data analyses; study management and oversight; post-trial activities; and regulatory activities and site monitoring. Grant authorities that allow NIAID to forecast this opportunity are as follows:&nbsp;Sections 301 and 405 of the Public Health Service Act as amended (42 USC 241 and 284) and under Federal Regulations 42 CFR Part 52 and 2 CFR Part 200.</span></p>"
"9b4ae9e9-8f44-494c-9f45-95774b2c84f4","FOR-AI-27-008","NIAID Investigator Initiated Program Project Applications","forecasted","HHS-NIH11","discretionary","","2025-06-16","","","","False","","","","","","","93.855|Allergy and Infectious Diseases Research","grant","health","","federally_recognized_native_american_tribal_governments;state_governments;private_institutions_of_higher_education;public_and_indian_housing_authorities;public_and_state_institutions_of_higher_education;for_profit_organizations_other_than_small_businesses;other_native_american_tribal_organizations;nonprofits_non_higher_education_with_501c3;county_governments;small_businesses;independent_school_districts","","National Institutes of Health","Department of Health and Human Services","","chelsea.boyd@nih.gov","chelsea.boyd@nih.gov","True","2025-12-12","2026-01-25","","2026-12-01","2026-12-01","2027","2025-06-16 18:30:42+00:00","2025-06-16 18:30:42+00:00","<p><span style=""color: rgb(51, 51, 51);"">The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by continuing support for&nbsp;investigator-initiated Program Project applications.&nbsp;The program encourages applications for investigator-initiated program projects proposed in scientific areas relevant to the NIAID mission including the biology, pathogenesis, and host response to microbes; mechanisms regulating immune system development and function across the lifespan, and/or in response to infectious pathogens; immune dysfunction resulting in autoimmunity, immunodeficiency, allergy, asthma, or transplant rejection; and translational research to develop vaccines, therapeutics, and diagnostics to prevent and treat infectious, immune-mediated, and allergic diseases.&nbsp;Grant authorities that allow NIAID to forecast this opportunity are as follows:&nbsp;Sections 301 and 405 of the Public Health Service Act as amended (42 USC 241 and 284) and under Federal Regulations 42 CFR Part 52 and 2 CFR Part 200.&nbsp;</span></p>"
"acddd551-94a1-4149-9270-7363ea06cd50","FOR-AI-26-004","Partnerships for Development of Vaccines to Prevent Mycobacterium tuberculosis Infection and/or Tuberculosis (R01 Clinical Trial Not Allowed)","forecasted","HHS-NIH11","discretionary","","2025-06-04","","","","False","5","4730000","","","","","93.855|Allergy and Infectious Diseases Research","grant","health","","small_businesses;federally_recognized_native_american_tribal_governments;nonprofits_non_higher_education_with_501c3;other_native_american_tribal_organizations;public_and_indian_housing_authorities;private_institutions_of_higher_education;for_profit_organizations_other_than_small_businesses;public_and_state_institutions_of_higher_education;state_governments;county_governments;independent_school_districts","","National Institutes of Health","Department of Health and Human Services","","keichelberg@nih.gov","keichelberg@nih.gov","True","2025-09-08","2025-11-07","","2026-07-01","2026-07-01","2026","2025-05-16 13:17:55+00:00","2025-06-04 13:54:38+00:00","<p><span style=""color: rgb(51, 51, 51);"">The National Institute of Allergy and Infectious Diseases (NIAID) intends to publish a Notice of Funding Opportunity (NOFO) to solicit research applications focused on preclinical development of lead candidate vaccines to prevent Mycobacterium tuberculosis (Mtb) infection and/or disease, and to increase the clinical pipeline of viable vaccine candidates. This NOFO will utilize the R01 activity code. Applications are not being solicited at this time. This Notice is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects.&nbsp;Investigators with expertise and insights into this area of tuberculosis research are encouraged to begin to consider applying for this new NOFO. In addition, collaborative investigations will be encouraged and these investigators should also begin considering applying for this NOFO.&nbsp;</span></p>"
"8956cffb-94ce-4ea6-989d-efc46d1ef068","FOR-AI-26-001","Limited Competition: National Biocontainment Laboratories (NBLs) Operations Support (UC7 Clinical Trials Not Allowed)","forecasted","HHS-NIH11","discretionary","","2025-06-04","","","","False","2","23000000","","","","","93.855|Allergy and Infectious Diseases Research","cooperative_agreement","health","","other","Eligible Organizations:The University of Texas Medical Branch at Galveston, TX;Boston University, Boston, MA","National Institutes of Health","Department of Health and Human Services","","fayna.diazsansegundo@nih.gov","fayna.diazsansegundo@nih.gov","True","2025-09-11","2025-11-10","","2026-07-01","2026-07-01","2026","2025-05-09 14:24:25+00:00","2025-06-04 13:57:25+00:00","<p><span style=""color: rgb(51, 51, 51);"">The National Institute of Allergy and Infectious Diseases (NIAID) intends to publish a Notice of Funding Opportunity (NOFO) to solicit applications to continue to provide operations support to the National Biocontainment Laboratories (NBLs) at the University of Texas Medical Branch (UTMB) in Galveston, Texas and Boston University in Boston, Massachusetts. Operations support is provided in the following areas: facility maintenance and operations; biosecurity; environmental health and safety regulations and requirements; regulatory compliance; and specialized research support services. The NBLs serve as a national resource for efforts in conducting pre-clinical and laboratory (in vitro and in vivo) research and testing on hazardous biological agents in support of NIAID’s biodefense and emerging infectious diseases research efforts. Additionally, in times of a national biodefense or emerging infectious disease (EID) emergency, the NBLs may be expected to rapidly realign their activities to assist response efforts within the United States (U.S.) under the direction of NIAID.&nbsp;This NOFO will utilize the UC7 activity code.&nbsp;Applications are not being solicited at this time. This Notice is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects. Investigators with expertise and insights into this area of biocontainment laboratory operations are encouraged to begin to consider applying for this NOFO.&nbsp;</span></p>"
"c90e6bed-be52-4d95-9383-bcd86e82dccc","NOT-AI-25-034","Rational Design of Vaccines Against Hepatitis C Virus (U19 Clinical Trial Not Allowed)","forecasted","HHS-NIH11","discretionary","","2025-05-27","","","","False","4","8300000","","","","","93.855|Allergy and Infectious Diseases Research","cooperative_agreement","health","","nonprofits_non_higher_education_with_501c3;for_profit_organizations_other_than_small_businesses;small_businesses;other_native_american_tribal_organizations;independent_school_districts;state_governments;public_and_indian_housing_authorities;private_institutions_of_higher_education;federally_recognized_native_american_tribal_governments;county_governments;public_and_state_institutions_of_higher_education","","National Institutes of Health","Department of Health and Human Services","","rajeev.gautam@nih.gov","rajeev.gautam@nih.gov","True","2025-07-07","2025-11-03","","2026-07-01","2026-07-01","2026","2025-05-27 18:50:35+00:00","2025-05-27 18:50:35+00:00","<p>The National Institute of Allergy and Infectious Diseases intends to publish a Notice of Funding Opportunity (NOFO) to solicit applications to participate in a consortium of Research Centers focused on designing, optimizing, evaluating, and developing broadly protective vaccines for hepatitis C virus (HCV) to enable the advancement of vaccine candidates into clinical evaluation. This NOFO will utilize the U19 activity code.</p><p><br></p><p>Applications are not being solicited at this time. This Notice is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects. Investigators with expertise and insights into this area of HCV vaccine development are encouraged to begin to consider applying for this new NOFO. In addition, collaborative investigations will be encouraged, and these investigators should also begin considering applying for this NOFO.&nbsp;</p>"
"4abe9c3d-1440-49c8-8e79-afc7650a4c56","NOT-AI-25-032","Limited Competition: International epidemiology Databases to Evaluate AIDS (IeDEA) (U01 Clinical Trial Not Allowed)","forecasted","HHS-NIH11","discretionary","","2025-05-27","","","","False","7","20665000","","","","","93.855|Allergy and Infectious Diseases Research","cooperative_agreement","health","","public_and_state_institutions_of_higher_education;nonprofits_non_higher_education_with_501c3;private_institutions_of_higher_education;other","Non-domestic (non U.S.) Entity (Foreign Organization)This limited competition is open to the following organizations/institutions only. Only renewal applications from the current IeDEA Regional Data Centers may be submitted in response to this NOFO:Foundation for AIDS Research (New York, NY) Indiana University (Indianapolis, IN)Johns Hopkins University (Baltimore, MD)Université de Bordeaux - ISPED (France)Vanderbilt University Medical Center (Nashville, TN)University of Bern (Switzerland)Albert Einstein College of Medicine (New York, NY)","National Institutes of Health","Department of Health and Human Services","","lzimand@niaid.nih.gov","lzimand@niaid.nih.gov","True","2025-08-05","2025-12-03","","2026-07-01","2026-07-01","2026","2025-05-27 18:40:35+00:00","2025-05-27 19:36:36+00:00","<p>The National Institute of Allergy and Infectious Diseases, with other NIH Institutes and Centers (ICs) Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD), Fogarty International Center (FIC), National Cancer Institute (NCI), National Heart, Lung, and Blood Institute (NHLBI), National Institute on Aging (NIA), National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), National Institute of Mental Health (NIMH), and Office of AIDS Research (OAR), intends to publish a Notice of Funding Opportunity (NOFO) to solicit applications to continue support for the HIV International epidemiology Databases to Evaluate AIDS (IeDEA) Consortium. The consortium is a network of seven (7) geographical defined Regional Cohort Centers (RCC) awards that define their regional research agenda and bring together HIV clinical, research and contextual data to address their geographically focused questions, as well as global IeDEA research priorities. Collectively these data are used to understand, inform and guide the response to the HIV epidemic. Further, IeDEA facilitates access to data by working with data consumers at the clinic, national, and global level and creating data tools to strengthen data quality and facilitate data analysis. This NOFO will utilize the U01 activity code.</p><p><br></p><p>Applications are not being solicited at this time. This Notice is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects. Investigators with expertise and insights into this area of HIV epidemiology are encouraged to begin to consider applying for this new NOFO.&nbsp;</p>"
